gene,drugGene,value
ACTB,EPIRUBICIN,2.0
PRKD3,EPIRUBICIN,2.0
AKT2,EPIRUBICIN,4.0
UGT1A4,EPIRUBICIN,4.0
UGT1A5,EPIRUBICIN,4.0
SFTPA1,EPIRUBICIN,4.0
PTPRC,EPIRUBICIN,4.0
TSC1,EPIRUBICIN,4.0
PIK3CB,EPIRUBICIN,4.0
BTK,EPIRUBICIN,4.0
LIMK1,EPIRUBICIN,6.0
UGT1A8,EPIRUBICIN,6.0
UGT1A6,EPIRUBICIN,6.0
PIK3R2,EPIRUBICIN,6.0
ATXN2,EPIRUBICIN,6.0
FYN,EPIRUBICIN,8.0
ATP7A,EPIRUBICIN,8.0
NQO1,EPIRUBICIN,10.0
PIK3CG,EPIRUBICIN,10.0
JAK2,EPIRUBICIN,10.0
LCK,EPIRUBICIN,10.0
TUBA3C,EPIRUBICIN,12.0
NRAS,EPIRUBICIN,12.0
MTOR,EPIRUBICIN,12.0
TUBB4A,EPIRUBICIN,12.0
LYN,EPIRUBICIN,14.0
HRAS,EPIRUBICIN,16.0
UGT1A1,EPIRUBICIN,16.0
TUBA3E,EPIRUBICIN,16.0
TUBA3D,EPIRUBICIN,16.0
TUBA1C,EPIRUBICIN,16.0
TUBA1B,EPIRUBICIN,16.0
TUBA1A,EPIRUBICIN,16.0
SRC,EPIRUBICIN,16.0
TUBB8,EPIRUBICIN,16.0
TUBB6,EPIRUBICIN,16.0
TUBA4A,EPIRUBICIN,16.0
TUBB2A,EPIRUBICIN,16.0
TUBB2B,EPIRUBICIN,16.0
TUBB4B,EPIRUBICIN,16.0
TUBB3,EPIRUBICIN,18.0
YES1,EPIRUBICIN,18.0
AKT1,EPIRUBICIN,22.0
TUBB1,EPIRUBICIN,22.0
MET,EPIRUBICIN,28.0
PTEN,EPIRUBICIN,38.0
TYMS,EPIRUBICIN,42.0
PIK3CA,EPIRUBICIN,50.0
KRAS,EPIRUBICIN,58.0
ACTB,TRIFLURIDINE,2.0
PRKD3,TRIFLURIDINE,2.0
AKT2,TRIFLURIDINE,4.0
UGT1A4,TRIFLURIDINE,4.0
UGT1A5,TRIFLURIDINE,4.0
SFTPA1,TRIFLURIDINE,4.0
PTPRC,TRIFLURIDINE,4.0
TSC1,TRIFLURIDINE,4.0
PIK3CB,TRIFLURIDINE,4.0
BTK,TRIFLURIDINE,4.0
LIMK1,TRIFLURIDINE,6.0
UGT1A8,TRIFLURIDINE,6.0
UGT1A6,TRIFLURIDINE,6.0
PIK3R2,TRIFLURIDINE,6.0
ATXN2,TRIFLURIDINE,6.0
FYN,TRIFLURIDINE,8.0
ATP7A,TRIFLURIDINE,8.0
NQO1,TRIFLURIDINE,10.0
PIK3CG,TRIFLURIDINE,10.0
JAK2,TRIFLURIDINE,10.0
LCK,TRIFLURIDINE,10.0
TUBA3C,TRIFLURIDINE,12.0
NRAS,TRIFLURIDINE,12.0
MTOR,TRIFLURIDINE,12.0
TUBB4A,TRIFLURIDINE,12.0
LYN,TRIFLURIDINE,14.0
HRAS,TRIFLURIDINE,16.0
UGT1A1,TRIFLURIDINE,16.0
TUBA3E,TRIFLURIDINE,16.0
TUBA3D,TRIFLURIDINE,16.0
TUBA1C,TRIFLURIDINE,16.0
TUBA1B,TRIFLURIDINE,16.0
TUBA1A,TRIFLURIDINE,16.0
SRC,TRIFLURIDINE,16.0
TUBB8,TRIFLURIDINE,16.0
TUBB6,TRIFLURIDINE,16.0
TUBA4A,TRIFLURIDINE,16.0
TUBB2A,TRIFLURIDINE,16.0
TUBB2B,TRIFLURIDINE,16.0
TUBB4B,TRIFLURIDINE,16.0
TUBB3,TRIFLURIDINE,18.0
YES1,TRIFLURIDINE,18.0
AKT1,TRIFLURIDINE,22.0
TUBB1,TRIFLURIDINE,22.0
MET,TRIFLURIDINE,28.0
PTEN,TRIFLURIDINE,38.0
TYMS,TRIFLURIDINE,42.0
PIK3CA,TRIFLURIDINE,50.0
KRAS,TRIFLURIDINE,58.0
ACTB,ETOPOSIDE,2.0
PRKD3,ETOPOSIDE,2.0
AKT2,ETOPOSIDE,4.0
UGT1A4,ETOPOSIDE,4.0
UGT1A5,ETOPOSIDE,4.0
SFTPA1,ETOPOSIDE,4.0
PTPRC,ETOPOSIDE,4.0
TSC1,ETOPOSIDE,4.0
PIK3CB,ETOPOSIDE,4.0
BTK,ETOPOSIDE,4.0
LIMK1,ETOPOSIDE,6.0
UGT1A8,ETOPOSIDE,6.0
UGT1A6,ETOPOSIDE,6.0
PIK3R2,ETOPOSIDE,6.0
ATXN2,ETOPOSIDE,6.0
FYN,ETOPOSIDE,8.0
ATP7A,ETOPOSIDE,8.0
NQO1,ETOPOSIDE,10.0
PIK3CG,ETOPOSIDE,10.0
JAK2,ETOPOSIDE,10.0
LCK,ETOPOSIDE,10.0
TUBA3C,ETOPOSIDE,12.0
NRAS,ETOPOSIDE,12.0
MTOR,ETOPOSIDE,12.0
TUBB4A,ETOPOSIDE,12.0
