id,value
Genes,
Genes.SERPINA1,
Genes.SERPINA1.ALPHA.
Genes.SERPINA1.ALPHA.1-PROTEINASE INHIBITOR HUMAN,1
Genes.SERPINA1.IGMESINE,1
Genes.FLT3,
Genes.FLT3.4SC-203,1
Genes.FLT3.FAMITINIB,4
Genes.FLT3.BMS-690514,2
Genes.FLT3.PACRITINIB,2
Genes.FLT3.QUIZARTINIB,1
Genes.FLT3.ZIDOVUDINE,1
Genes.FLT3.KW-2449,3
Genes.FLT3.TAK-659,2
Genes.FLT3.NINTEDANIB,2
Genes.FLT3.IMC-EB10,1
Genes.FLT3.MIDOSTAURIN,2
Genes.FLT3.PEXIDARTINIB,2
Genes.FLT3.PONATINIB,4
Genes.FLT3.GILTERITINIB,1
Genes.FLT3.MK-2461,6
Genes.FLT3.LESTAURTINIB,1
Genes.CD80,
Genes.CD80.ABATACEPT,2
Genes.CD80.GALIXIMAB,1
Genes.CD80.VIAGENPUMATUCEL-L,2
Genes.CD86,
Genes.CD86.ABATACEPT,2
Genes.ITGAV,
Genes.ITGAV.ABITUZUMAB,1
Genes.ITGAV.IMGN-388,1
Genes.THBS1,
Genes.THBS1.ABT-510,1
Genes.CXCL8,
Genes.CXCL8.ABX-IL8,1
Genes.CXCL8.IBUPROFEN,4
Genes.PIK3CD,
Genes.PIK3CD.ACALISIB,1
Genes.PIK3CD.DUVELISIB,2
Genes.PIK3CD.GS-9901,1
Genes.PIK3CD.UMBRALISIB TOSYLATE,2
Genes.PIK3CD.BUPARLISIB,4
Genes.PIK3CD.ME-401,1
Genes.PIK3CD.IDELALISIB,1
Genes.PIK3CD.PA-799,4
Genes.LTA4H,
Genes.LTA4H.ACEBILUSTAT,1
Genes.STAT3,
Genes.STAT3.ACITRETIN,1
Genes.STAT3.ATIPRIMOD,1
Genes.STAT3.GOLOTIMOD,1
Genes.TF,
Genes.TF.ADEMETIONINE,1
Genes.ADAM10,
Genes.ADAM10.ADERBASIB,2
Genes.VEGFB,
Genes.VEGFB.AFLIBERCEPT,2
Genes.CD58,
Genes.CD58.ALEFACEPT,1
Genes.GALT,
Genes.GALT.ALGENPANTUCEL-L,1
Genes.ICAM1,
Genes.ICAM1.ALICAFORSEN,1
Genes.ICAM1.BI-505,1
Genes.ICAM1.LIFITEGRAST,2
Genes.RXRA,
Genes.RXRA.ALITRETINOIN,2
Genes.RXRA.BEXAROTENE,1
Genes.RXRB,
Genes.RXRB.ALITRETINOIN,2
Genes.TEK,
Genes.TEK.ALTIRATINIB,2
Genes.TEK.CEP-11981,1
Genes.TEK.RAZUPROTAFIB,1
Genes.TEK.REBASTINIB,2
Genes.PLAU,
Genes.PLAU.AMEDIPLASE,1
Genes.PLAU.UROKINASE,1
Genes.PLAU.SARUPLASE,1
Genes.PLAU.UPAMOSTAT,1
Genes.GLA,
Genes.GLA.ANAMORELIN,1
Genes.GLA.MALTOSE,1
Genes.GLA.DUVOGLUSTAT,2
Genes.GLA.MIGALASTAT,1
Genes.GLA.PEGUNIGALSIDASE ALFA,1
Genes.MMP9,
Genes.MMP9.ANDECALIXIMAB,1
Genes.MMP9.CURCUMIN,5
Genes.MMP9.TOZULERISTIDE,1
Genes.PTPRC,
Genes.PTPRC.APAMISTAMAB IODINE I-131,1
Genes.HSPB1,
Genes.HSPB1.APATORSEN,1
Genes.ADAM17,
Genes.ADAM17.APRATASTAT,2
Genes.ADAM17.ADERBASIB,2
Genes.MMP1,
Genes.MMP1.APRATASTAT,2
