id,value
Genes,
Genes.ABCC1,1
Genes.ABCC1.SULFINPYRAZONE,1
Genes.ABL1,
Genes.ABL1.BOSUTINIB,1
Genes.ACACB,
Genes.ACACB.METFORMIN,1
Genes.ADH1A,
Genes.ADH1A.FOMEPIZOLE,1
Genes.ADRA2A,
Genes.ADRA2A.CLONIDINE,1
Genes.ADRA2A.DEXMEDETOMIDINE,1
Genes.ADRA2A.MOXONIDINE,1
Genes.ADRA2C,
Genes.ADRA2C.XYLOMETAZOLINE,1
Genes.ADRB2, 
Genes.ADRB2.FORMOTEROL,1
Genes.ADRB2.ISOPROTERENOL,1
Genes.ADRB2.LEVOSALBUTAMOL,1
Genes.ADRB2.SALMETEROL,1
Genes.ADRB2.TERBUTALINE,1
Genes.ALB,
Genes.ALB.IODIPAMIDE,1
Genes.ALOX5,
Genes.ALOX5.DIETHYLCARBAMAZINE,1
Genes.APP,
Genes.APP.CRENEZUMAB,1
Genes.APP.CURCUMIN,1
Genes.AR,
Genes.AR.FLUDROCORTISONE,1
Genes.AR.NANDROLONE,1
Genes.AR.TESTOSTERONE,1


