id,value
Genes,
Genes.ABCC1,
Genes.ABCC1.SULFINPYRAZONE,1
Genes.ABL1,
Genes.ABL1.BOSUTINIB,1
Genes.ACACB,
Genes.ACACB.METFORMIN,1
Genes.ADH1A,
Genes.ADH1A.FOMEPIZOLE,1
Genes.ADRA2A,
Genes.ADRA2A.CLONIDINE,1
Genes.ADRA2A.DEXMEDETOMIDINE,2
Genes.ADRA2A.MOXONIDINE,1
Genes.ADRA2C,
Genes.ADRA2C.XYLOMETAZOLINE,1
Genes.ADRB2,
Genes.ADRB2.FORMOTEROL,2
Genes.ADRB2.ISOPROTERENOL,3
Genes.ADRB2.LEVOSALBUTAMOL,2
Genes.ADRB2.SALMETEROL,1
Genes.ADRB2.TERBUTALINE,1
Genes.ALB,
Genes.ALB.IODIPAMIDE,1
Genes.ALOX5,
Genes.ALOX5.DIETHYLCARBAMAZINE,1
Genes.APP,
Genes.APP.CRENEZUMAB,2
Genes.APP.CURCUMIN,1
Genes.AR,
Genes.AR.FLUDROCORTISONE,1
Genes.AR.NANDROLONE,2
Genes.AR.TESTOSTERONE,1
Genes.BCL2,
Genes.BCL2.PACLITAXEL,3
Genes.BRAF,
Genes.BRAF.DABRAFENIB,1
Genes.BTK,
Genes.BTK.IBRUTINIB,1
Genes.CA1,
Genes.CA1.CURCUMIN,1
Genes.CALCA,
Genes.CALCA.AMIODARONE,1
Genes.CCL11,
Genes.CCL11.BERTILIMUMAB,1
Genes.CCR5,
Genes.CCR5.LERONLIMAB,1
Genes.CD4,
Genes.CD4.ZANOLIMUMAB,1
Genes.CD80,
Genes.CD80.ABATACEPT,2
Genes.CHRM3,
Genes.CHRM3.TIOTROPIUM,1
Genes.CSF2RA,
Genes.CSF2RA.MAVRILIMUMAB,1
Genes.CXCL8,
Genes.CXCL8.IBUPROFEN,1
Genes.CXCR1,
Genes.CXCR1.IBUPROFEN,1
Genes.EGFR,
Genes.EGFR.CETUXIMAB,1
Genes.EGFR.GEFITINIB,2
Genes.EGFR.NITROGLYCERIN,1
Genes.EGFR.SORAFENIB,1
Genes.ESR1,
Genes.ESR1.CLOMIPHENE,1
Genes.ESR1.DANAZOL,2
Genes.ESR1.DIETHYLSTILBESTROL DIPHOSPHATE,3
Genes.ESR1.ESTETROL,2
Genes.ESR1.ESTRADIOL,3
Genes.ESR1.ESTRIOL,2
Genes.ESR1.ESTROGEN,1
Genes.F2,
Genes.F2.DABIGATRAN,1
Genes.FGF2,
Genes.FGF2.SUCRALFATE,2
Genes.FYN,
Genes.FYN.DASATINIB,1
Genes.GLP1R,
Genes.GLP1R.LIRAGLUTIDE,1
Genes.HPSE,
Genes.HPSE.SURAMIN,1
Genes.IL1B,
Genes.IL1B.GLUCOSAMINE,1
Genes.IL6,
Genes.IL6.CLAZAKIZUMAB,2
Genes.IL6R,
Genes.IL6R.SARILUMAB,2
Genes.IL6R.TOCILIZUMAB,1
Genes.IMPDH1,
Genes.IMPDH1.MERCAPTOPURINE,1
Genes.ITPR1,
Genes.ITPR1.NITROPRUSSIDE,2
Genes.JAK2,
Genes.JAK2.RUXOLITINIB,1
Genes.KIT,
Genes.KIT.IMATINIB,1
Genes.KIT.SORAFENIB,2
Genes.MAPK8,
Genes.MAPK8.TANZISERTIB,1
Genes.MMP1,
Genes.MMP1.APRATASTAT,1
Genes.MMP9,
Genes.MMP9.CURCUMIN,1
Genes.MTOR,
Genes.MTOR.ZOTAROLIMUS,1
Genes.MUT,
Genes.MUT.HYDROXOCOBALAMIN,1
Genes.NFKB2,
Genes.NFKB2.SULFASALAZINE,1
Genes.OPRD1,
Genes.OPRD1.CODEINE,1
Genes.OPRD1.OXYCODONE,1
Genes.P2RY12,
Genes.P2RY12.CLOPIDOGREL,2
Genes.P2RY12.PRASUGREL,2
Genes.PGR,
Genes.PGR.DESOGESTREL,1
Genes.PGR.MEDROXYPROGESTERONE ACETATE,1
Genes.PGR.MEGESTROL,1
Genes.PLAU,
Genes.PLAU.UROKINASE,1
Genes.PLAUR,
Genes.PLAUR.RUXOLITINIB,2
Genes.PLG,
Genes.PLG.RETEPLASE,1
Genes.PLG.STREPTOKINASE,2
Genes.PLG.TENECTEPLASE,1
Genes.PPARG,
Genes.PPARG. RAGAGLITAZAR,1
Genes.PPP3CA,
Genes.PPP3CA.TACROLIMUS,2
Genes.PTGS2,
Genes.PTGS2.CELECOXIB,1
Genes.PTGS2.ETORICOXIB,1
Genes.PTGS2.IBUPROFEN,2
Genes.PTGS2.INDOMETHACIN,1
Genes.PTGS2.KETOPROFEN,2
Genes.PTGS2.NAPROXEN,1
Genes.PTGS2.PHENYLBUTAZONE,2
Genes.SYK,
Genes.SYK.IMATINIB MESYLATE,1
Genes.TNF,
Genes.TNF.INFLIXIMAB,2
Genes.TUBB4B,
Genes.TUBB4B.VINBLASTINE,1
Genes.VEGFA,
Genes.VEGFA.BEVACIZUMAB,1
